Nome;Alg-Class;Alg-Class-Params;Tec-Desbal;Tec-Desbal-Params;Acuracia;Acuracia Balanceada;F1-Score;Macro F1-Score;AUC
CLF_46;AD;{'min_samples_leaf': 11, 'random_state': 42};undersampling;-;0.7861880705619612;0.8192270889333058;0.22419074189349217;0.5488091190695659;0.870951238207424
CLF_47;AD;{'min_samples_leaf': 11, 'random_state': 42};oversampling;-;0.9170021278747287;0.7022702575412962;0.3070014697743888;0.6312117148215906;0.7031861715403396
CLF_48;AD;{'min_samples_leaf': 11, 'random_state': 42};smote;5;0.9077622245219812;0.7414357180600547;0.29597282283359005;0.6231004851085062;0.8249273073974983
CLF_49;AD;{'min_samples_leaf': 11, 'random_state': 42};smote;10;0.8991121663227786;0.7040119925563444;0.26844405338165866;0.6068371629822193;0.7829693768966808
CLF_5;AD;{'min_samples_leaf': 1, 'random_state': 42};smote;15;0.9180269071803402;0.6742394950260758;0.2542972107741714;0.6053516267505903;0.6742394950260758
CLF_50;AD;{'min_samples_leaf': 11, 'random_state': 42};smote;15;0.9087895856776174;0.7463602476623705;0.3093204230469707;0.6300996247869304;0.8265508033676067
CLF_51;AD;{'min_samples_leaf': 11, 'random_state': 42};adasyn;5;0.903950338114776;0.7240874629540286;0.2869707382971707;0.6175186537667567;0.8054449328212165
CLF_52;AD;{'min_samples_leaf': 11, 'random_state': 42};adasyn;10;0.8974980797490442;0.7317385186206262;0.27569379186611664;0.6099899868697414;0.8006394763856081
CLF_53;AD;{'min_samples_leaf': 11, 'random_state': 42};adasyn;15;0.8979376397157383;0.7012080432834792;0.25232180667126086;0.5985134897332358;0.7933371201678373
CLF_54;AD;{'min_samples_leaf': 13, 'random_state': 42};-;-;0.9576203303477107;0.6221966250832816;0.28882829394662085;0.633479269705583;0.7677993087362702
CLF_55;AD;{'min_samples_leaf': 13, 'random_state': 42};undersampling;-;0.7883861931266849;0.8137718542513841;0.22592965091752476;0.5504510098975727;0.874986644914233
CLF_56;AD;{'min_samples_leaf': 13, 'random_state': 42};oversampling;-;0.9114273757861195;0.7103748248213753;0.29246769819984014;0.6224156979218595;0.7129338829921659
